Index(['day', 'timestamp', 'product', 'bid_price_1', 'bid_volume_1',
       'bid_price_2', 'bid_volume_2', 'bid_price_3', 'bid_volume_3',
       'ask_price_1', 'ask_volume_1', 'ask_price_2', 'ask_volume_2',
       'ask_price_3', 'ask_volume_3', 'mid_price', 'profit_and_loss'],
      dtype='object')
Rows in dataset: 20000
timestamp,product,mid,position,pnl
0,TOMATOES,5006.0,0,0
0,EMERALDS,10000.0,0,0
100,EMERALDS,10000.0,0,0
100,TOMATOES,5006.5,0,0
200,EMERALDS,10000.0,0,0
200,TOMATOES,5006.5,0,0
300,TOMATOES,5007.0,0,0
300,EMERALDS,10000.0,0,0
400,TOMATOES,5007.0,0,0
400,EMERALDS,10000.0,0,0
500,EMERALDS,10000.0,0,0
500,TOMATOES,5007.0,0,0
600,EMERALDS,10000.0,0,0
600,TOMATOES,5009.5,0,0
700,TOMATOES,5007.0,0,0
700,EMERALDS,10000.0,0,0
800,TOMATOES,5006.5,0,0
800,EMERALDS,10000.0,0,0
900,EMERALDS,10000.0,0,0
900,TOMATOES,5006.5,0,0
1000,EMERALDS,10000.0,0,0
1000,TOMATOES,5007.0,0,0
1100,TOMATOES,5010.0,0,0
1100,EMERALDS,10000.0,0,0
1200,TOMATOES,5007.0,0,0
1200,EMERALDS,10000.0,0,0
1300,EMERALDS,10000.0,0,0
1300,TOMATOES,5007.5,0,0
1400,EMERALDS,10000.0,0,0
1400,TOMATOES,5007.0,0,0
1500,TOMATOES,5011.0,0,0
1500,EMERALDS,10000.0,0,0
1600,TOMATOES,5007.5,0,0
1600,EMERALDS,10000.0,0,0
1700,EMERALDS,10000.0,0,0
1700,TOMATOES,5007.0,0,0
1800,EMERALDS,10000.0,0,0
1800,TOMATOES,5006.5,0,0
1900,TOMATOES,5006.5,0,0
1900,EMERALDS,10000.0,0,0
2000,TOMATOES,5006.0,0,0
2000,EMERALDS,10000.0,0,0
2100,EMERALDS,10000.0,0,0
2100,TOMATOES,5005.5,0,0
2200,EMERALDS,10000.0,0,0
2200,TOMATOES,5004.0,0,0
2300,TOMATOES,5003.5,0,0
2300,EMERALDS,10000.0,0,0
2400,TOMATOES,5003.0,0,0
2400,EMERALDS,10000.0,0,0
2500,EMERALDS,10000.0,0,0
2500,TOMATOES,5002.5,0,0
2600,EMERALDS,10000.0,0,0
2600,TOMATOES,5002.5,0,0
2700,TOMATOES,5003.5,0,0
2700,EMERALDS,10000.0,0,0
2800,TOMATOES,5004.0,0,0
2800,EMERALDS,9996.0,0,0
2900,EMERALDS,10000.0,0,0
2900,TOMATOES,5004.0,0,0
3000,EMERALDS,10000.0,0,0
3000,TOMATOES,5003.0,0,0
3100,TOMATOES,5003.0,0,0
3100,EMERALDS,10000.0,0,0
3200,TOMATOES,5002.5,0,0
3200,EMERALDS,10000.0,0,0
3300,EMERALDS,10000.0,0,0
3300,TOMATOES,5003.0,0,0
3400,EMERALDS,10000.0,0,0
3400,TOMATOES,5002.5,0,0
3500,TOMATOES,5001.5,0,0
3500,EMERALDS,10000.0,0,0
3600,TOMATOES,5001.5,0,0
3600,EMERALDS,10000.0,0,0
3700,EMERALDS,10000.0,0,0
